DATE,TOTAL_ACTIVE_USERS,SWAP_TXNS,MINT_LIQUIDITY_TXNS,BURN_LIQUIDITY_TXNS,INCREASE_LIQUIDITY_TXNS,DECREASE_LIQUIDITY_TXNS,TOTAL_ACTIVE_POOLS,TOTAL_TXN_FEE_ETH,AVG_TXN_FEE_ETH,TOTAL_TXN_FEE_USD,AVG_TXN_FEE_USD,VOLUME_USD,PROTOCOL_FEES_USD
2023-03-30 00:00:00.000,68270,358280,150,3,8712,5889,2083,130.90552663,0.0002211540861,235224.506017754,0.3973923943,773817245,870395
2023-03-31 00:00:00.000,61925,275260,55,3,7277,4461,2043,86.176749551,0.0001884093687,155957.110343841,0.3409710955,438588439,443590
2023-04-01 00:00:00.000,50257,204369,77,5,6084,3646,1926,52.612848522,0.0001606685616,96032.305649273,0.2932624416,276703128,284245
2023-04-02 00:00:00.000,61343,258323,71,8,6328,4961,1918,68.763924485,0.0001641711917,124684.320733272,0.2976789599,457698887,465283
2023-04-03 00:00:00.000,59643,284632,45,6,6576,4321,1956,107.017383661,0.0002236985444,193083.432049447,0.4036024917,570102420,501370
2023-04-04 00:00:00.000,64480,258235,69,5,6985,4321,1933,85.782662066,0.0002070554578,158418.148166117,0.382377294,455316686,413148
2023-04-05 00:00:00.000,73606,270518,115,6,6076,4375,2001,107.641847209,0.000243582087,205023.762943753,0.4639470368,448143495,453025
2023-04-06 00:00:00.000,77314,259550,58,6,7864,3650,2048,90.035167839,0.0002199891217,169492.810952978,0.4141334494,308338736,260189
2023-04-07 00:00:00.000,72761,225442,30,13,5988,2892,1919,64.237827613,0.0001842996509,119634.249127332,0.3432331255,233419072,199671
2023-04-08 00:00:00.000,73723,202817,61,7,5176,2637,1822,87.459298122,0.0002706411087,163399.657728456,0.5056370847,157637781,133234
2023-04-09 00:00:00.000,67828,197308,33,3,4453,2320,1830,48.411019507,0.0001567861603,89427.240682846,0.2896231857,203262456,158881
2023-04-10 00:00:00.000,71016,219810,45,2,5401,3187,1897,63.626541442,0.0001824338493,118820.673236657,0.3406897861,286024549,227652
2023-04-11 00:00:00.000,73290,225474,25,3,5731,3761,1896,65.277362569,0.0001862295342,124904.695004083,0.3563401194,272495911,235781
2023-04-12 00:00:00.000,70285,261036,35,11,5763,3731,1933,74.15826788,0.0001781070826,140154.984402987,0.3366124385,389552682,298967
2023-04-13 00:00:00.000,75014,269811,21,1,7300,5520,1962,92.665984047,0.0002195486206,182170.709849186,0.4316074391,472231787,406772
2023-04-14 00:00:00.000,83521,399326,39,6,10244,8238,2049,139.960977663,0.0002111987326,291207.452755072,0.4394270886,798476895,953966
2023-04-15 00:00:00.000,102976,327873,37,8,7105,4686,1916,105.242480169,0.0001738450334,221050.00727685,0.3651419639,471706661,486861
2023-04-16 00:00:00.000,94394,286061,31,3,5206,3334,1840,95.762701561,0.0001755837989,201165.714536849,0.3688433992,374209696,343834
